Date,Open,High,Low,Close
12/31/2021,"3,626.24","3,642.84","3,624.94","3,639.78"
12/30/2021,"3,596.49","3,628.92","3,595.50","3,619.19"
12/29/2021,"3,630.92","3,630.92","3,596.32","3,597.00"
12/28/2021,"3,619.64","3,631.08","3,607.36","3,630.11"
12/27/2021,"3,613.05","3,632.19","3,601.94","3,615.97"
12/24/2021,"3,645.39","3,648.96","3,612.07","3,618.05"
12/23/2021,"3,625.47","3,643.55","3,618.05","3,643.34"
12/22/2021,"3,632.68","3,635.90","3,616.55","3,622.62"
12/21/2021,"3,591.45","3,627.09","3,591.45","3,625.13"
12/20/2021,"3,620.04","3,643.95","3,589.36","3,593.60"
12/17/2021,"3,670.26","3,673.65","3,631.66","3,632.36"
12/16/2021,"3,648.93","3,675.02","3,644.66","3,675.02"
12/15/2021,"3,655.05","3,668.40","3,645.24","3,647.63"
12/14/2021,"3,669.81","3,671.68","3,654.66","3,661.53"
12/13/2021,"3,686.94","3,708.94","3,678.06","3,681.08"
12/10/2021,"3,654.37","3,667.85","3,651.35","3,666.35"
12/09/2021,"3,641.16","3,688.40","3,638.70","3,673.04"
12/08/2021,"3,602.82","3,637.72","3,591.99","3,637.57"
12/07/2021,"3,611.22","3,614.22","3,572.57","3,595.09"
12/06/2021,"3,615.24","3,626.13","3,586.81","3,589.31"
12/03/2021,"3,576.45","3,608.47","3,573.21","3,607.43"
12/02/2021,"3,573.25","3,586.87","3,567.14","3,573.84"
12/01/2021,"3,561.89","3,576.89","3,558.69","3,576.89"
11/30/2021,"3,570.75","3,582.12","3,546.36","3,563.89"
11/29/2021,"3,528.67","3,563.68","3,526.36","3,562.70"
11/26/2021,"3,576.11","3,576.11","3,554.88","3,564.09"
11/25/2021,"3,593.39","3,597.15","3,579.53","3,584.18"
11/24/2021,"3,590.02","3,602.74","3,575.29","3,592.70"
11/23/2021,"3,580.51","3,598.38","3,577.36","3,589.09"
11/22/2021,"3,562.76","3,585.19","3,562.75","3,582.08"
11/19/2021,"3,519.28","3,561.91","3,517.65","3,560.37"
11/18/2021,"3,531.49","3,537.98","3,513.11","3,520.71"
11/17/2021,"3,518.56","3,537.51","3,513.52","3,537.37"
11/16/2021,"3,530.46","3,549.77","3,517.81","3,521.79"
11/15/2021,"3,542.90","3,550.44","3,521.29","3,533.30"
11/12/2021,"3,534.15","3,543.65","3,527.39","3,539.10"
11/11/2021,"3,486.45","3,534.20","3,482.83","3,532.79"
11/10/2021,"3,498.94","3,498.94","3,448.44","3,492.46"
11/09/2021,"3,507.11","3,514.95","3,489.04","3,507.00"
11/08/2021,"3,491.97","3,507.27","3,484.24","3,498.63"
11/05/2021,"3,520.21","3,525.87","3,491.46","3,491.57"
11/04/2021,"3,505.89","3,527.95","3,503.01","3,526.87"
11/03/2021,"3,501.11","3,512.61","3,480.49","3,498.54"
11/02/2021,"3,543.38","3,559.05","3,477.66","3,505.63"
11/01/2021,"3,530.40","3,556.59","3,519.29","3,544.48"
10/29/2021,"3,519.33","3,547.34","3,502.80","3,547.34"
10/28/2021,"3,548.70","3,552.04","3,509.49","3,518.42"
10/27/2021,"3,589.86","3,589.86","3,553.13","3,562.31"
10/26/2021,"3,612.83","3,625.02","3,589.71","3,597.64"
10/25/2021,"3,574.26","3,611.09","3,564.21","3,609.86"
10/22/2021,"3,594.75","3,607.58","3,578.76","3,582.60"
10/21/2021,"3,590.05","3,610.96","3,576.35","3,594.78"
10/20/2021,"3,583.24","3,596.05","3,574.30","3,587.00"
10/19/2021,"3,562.30","3,596.79","3,560.62","3,593.15"
10/18/2021,"3,571.05","3,571.05","3,539.48","3,568.14"
10/15/2021,"3,551.99","3,578.77","3,542.69","3,572.37"
10/14/2021,"3,555.11","3,569.69","3,547.18","3,558.28"
10/13/2021,"3,543.49","3,569.13","3,515.65","3,561.76"
10/12/2021,"3,581.30","3,583.64","3,515.14","3,546.94"
10/11/2021,"3,600.36","3,614.70","3,586.75","3,591.71"
10/08/2021,"3,609.09","3,612.55","3,571.73","3,592.17"
09/30/2021,"3,541.93","3,572.43","3,541.93","3,568.17"
09/29/2021,"3,573.52","3,573.52","3,518.05","3,536.29"
09/28/2021,"3,577.89","3,610.92","3,568.82","3,602.22"
09/27/2021,"3,625.96","3,640.81","3,559.92","3,582.83"
09/24/2021,"3,637.87","3,651.43","3,607.79","3,613.07"
09/23/2021,"3,651.27","3,670.95","3,632.28","3,642.22"
09/22/2021,"3,563.21","3,629.45","3,560.50","3,628.49"
09/17/2021,"3,595.27","3,620.96","3,569.27","3,613.97"
09/16/2021,"3,664.84","3,677.92","3,606.73","3,607.09"
09/15/2021,"3,651.16","3,677.53","3,638.32","3,656.22"
09/14/2021,"3,709.63","3,723.85","3,655.63","3,662.60"
09/13/2021,"3,699.25","3,716.83","3,692.82","3,715.37"
09/10/2021,"3,691.19","3,722.87","3,681.64","3,703.11"
09/09/2021,"3,666.82","3,693.45","3,662.16","3,693.13"
09/08/2021,"3,673.40","3,695.32","3,661.00","3,675.19"
09/07/2021,"3,621.71","3,681.93","3,615.14","3,676.59"
09/06/2021,"3,580.14","3,626.29","3,580.14","3,621.86"
09/03/2021,"3,602.74","3,613.95","3,569.40","3,581.73"
09/02/2021,"3,559.90","3,597.37","3,557.68","3,597.04"
09/01/2021,"3,543.87","3,582.32","3,514.67","3,567.10"
08/31/2021,"3,519.02","3,543.94","3,496.39","3,543.94"
08/30/2021,"3,535.07","3,539.49","3,512.99","3,528.15"
08/27/2021,"3,494.42","3,530.19","3,493.38","3,522.16"
08/26/2021,"3,537.31","3,537.32","3,499.45","3,501.66"
08/25/2021,"3,517.92","3,540.39","3,510.07","3,540.38"
08/24/2021,"3,482.27","3,522.70","3,481.14","3,514.47"
