Date,Open,High,Low,Close
12/31/2019,"3,036.39","3,051.68","3,030.51","3,050.12"
12/30/2019,"2,998.17","3,041.40","2,983.34","3,040.02"
12/27/2019,"3,006.85","3,036.11","3,003.63","3,005.04"
12/26/2019,"2,981.25","3,007.35","2,980.40","3,007.35"
12/25/2019,"2,980.43","2,988.29","2,970.66","2,981.88"
12/24/2019,"2,965.83","2,983.82","2,960.68","2,982.68"
12/23/2019,"2,999.04","3,009.34","2,960.44","2,962.75"
12/20/2019,"3,019.64","3,027.48","3,002.26","3,004.94"
12/19/2019,"3,017.15","3,021.42","3,007.99","3,017.07"
12/18/2019,"3,021.47","3,033.23","3,011.72","3,017.04"
12/17/2019,"2,985.26","3,039.38","2,982.50","3,022.42"
12/16/2019,"2,970.97","2,984.64","2,958.71","2,984.39"
12/13/2019,"2,937.78","2,969.98","2,935.85","2,967.68"
12/12/2019,"2,926.34","2,926.34","2,913.48","2,915.70"
12/11/2019,"2,922.60","2,928.26","2,915.00","2,924.42"
12/10/2019,"2,908.94","2,919.20","2,902.79","2,917.32"
12/09/2019,"2,914.46","2,919.59","2,905.25","2,914.48"
12/06/2019,"2,902.28","2,912.01","2,894.75","2,912.01"
12/05/2019,"2,886.52","2,902.00","2,885.08","2,899.47"
12/04/2019,"2,876.91","2,882.50","2,869.42","2,878.12"
12/03/2019,"2,869.88","2,884.86","2,857.32","2,884.70"
12/02/2019,"2,874.45","2,888.89","2,870.24","2,875.81"
11/29/2019,"2,885.97","2,892.39","2,858.58","2,871.98"
11/28/2019,"2,902.36","2,909.84","2,883.43","2,889.69"
11/27/2019,"2,905.40","2,914.49","2,893.42","2,903.19"
11/26/2019,"2,912.52","2,915.04","2,897.93","2,907.06"
11/25/2019,"2,885.61","2,906.61","2,880.65","2,906.17"
11/22/2019,"2,906.24","2,925.02","2,873.99","2,885.29"
11/21/2019,"2,902.55","2,910.36","2,891.53","2,903.64"
11/20/2019,"2,928.11","2,930.49","2,907.42","2,911.05"
11/19/2019,"2,904.28","2,933.99","2,902.86","2,933.99"
11/18/2019,"2,889.55","2,911.38","2,884.09","2,909.20"
11/15/2019,"2,911.35","2,917.83","2,891.20","2,891.34"
11/14/2019,"2,907.74","2,917.37","2,899.62","2,909.87"
11/13/2019,"2,913.02","2,913.86","2,893.97","2,905.24"
11/12/2019,"2,913.00","2,918.30","2,891.51","2,914.82"
11/11/2019,"2,949.96","2,949.96","2,906.77","2,909.97"
11/08/2019,"2,993.98","2,998.76","2,962.84","2,964.18"
11/07/2019,"2,978.15","2,988.96","2,969.12","2,978.71"
11/06/2019,"2,992.04","2,995.56","2,969.72","2,978.60"
11/05/2019,"2,977.70","3,008.31","2,968.03","2,991.56"
11/04/2019,"2,964.58","2,983.06","2,964.58","2,975.49"
11/01/2019,"2,924.34","2,959.83","2,917.15","2,958.20"
10/31/2019,"2,944.84","2,946.75","2,923.52","2,929.06"
10/30/2019,"2,949.46","2,953.30","2,934.83","2,939.32"
10/29/2019,"2,979.04","2,979.04","2,954.18","2,954.18"
10/28/2019,"2,958.69","2,980.13","2,956.96","2,980.05"
10/25/2019,"2,940.47","2,958.24","2,920.52","2,954.93"
10/24/2019,"2,944.01","2,953.04","2,927.06","2,940.92"
10/23/2019,"2,952.97","2,957.30","2,934.63","2,941.62"
10/22/2019,"2,945.60","2,954.64","2,934.39","2,954.38"
10/21/2019,"2,933.90","2,940.32","2,917.69","2,939.62"
10/18/2019,"2,982.34","2,987.20","2,933.24","2,938.14"
10/17/2019,"2,979.99","2,986.72","2,969.57","2,977.33"
10/16/2019,"2,992.61","3,010.42","2,975.92","2,978.71"
10/15/2019,"3,005.66","3,005.66","2,986.30","2,991.05"
10/14/2019,"2,993.96","3,026.38","2,989.81","3,007.88"
10/11/2019,"2,954.82","2,980.79","2,943.01","2,973.66"
10/10/2019,"2,923.71","2,949.24","2,918.23","2,947.71"
10/09/2019,"2,902.08","2,924.86","2,891.54","2,924.86"
10/08/2019,"2,905.76","2,933.02","2,905.76","2,913.57"
09/30/2019,"2,927.92","2,936.48","2,905.19","2,905.19"
09/27/2019,"2,929.49","2,939.08","2,920.93","2,932.17"
09/26/2019,"2,964.48","2,970.04","2,928.26","2,929.09"
09/25/2019,"2,977.67","2,977.67","2,955.43","2,955.43"
09/24/2019,"2,979.48","3,002.90","2,973.76","2,985.34"
09/23/2019,"2,998.40","2,998.40","2,960.83","2,977.08"
