Date,Open,High,Low,Close
12/30/2022,"3,084.52","3,096.31","3,082.20","3,089.26"
12/29/2022,"3,076.73","3,086.01","3,064.46","3,073.70"
12/28/2022,"3,088.62","3,098.65","3,079.43","3,087.40"
12/27/2022,"3,077.75","3,098.08","3,074.31","3,095.57"
12/26/2022,"3,048.20","3,071.84","3,047.35","3,065.56"
12/23/2022,"3,038.84","3,061.87","3,031.54","3,045.87"
12/22/2022,"3,085.80","3,096.24","3,044.60","3,054.43"
12/21/2022,"3,078.33","3,085.80","3,060.55","3,068.41"
12/20/2022,"3,098.95","3,100.75","3,061.51","3,073.77"
12/19/2022,"3,165.31","3,170.26","3,096.10","3,107.12"
12/16/2022,"3,156.14","3,175.35","3,151.61","3,167.86"
12/15/2022,"3,177.20","3,179.10","3,158.45","3,168.65"
12/14/2022,"3,178.55","3,189.84","3,168.59","3,176.53"
12/13/2022,"3,179.44","3,187.20","3,171.48","3,176.33"
12/12/2022,"3,195.87","3,196.72","3,176.58","3,179.04"
12/09/2022,"3,197.12","3,212.11","3,182.91","3,206.95"
12/08/2022,"3,196.02","3,206.72","3,187.26","3,197.35"
12/07/2022,"3,204.94","3,226.08","3,188.67","3,199.62"
12/06/2022,"3,200.28","3,224.82","3,195.08","3,212.53"
12/05/2022,"3,181.92","3,213.44","3,177.06","3,211.81"
12/02/2022,"3,160.58","3,170.90","3,149.84","3,156.14"
12/01/2022,"3,187.99","3,198.41","3,164.54","3,165.47"
11/30/2022,"3,141.40","3,158.57","3,137.37","3,151.34"
11/29/2022,"3,096.11","3,152.00","3,096.11","3,149.75"
11/28/2022,"3,055.29","3,080.18","3,034.70","3,078.55"
11/25/2022,"3,085.46","3,111.42","3,077.97","3,101.69"
11/24/2022,"3,104.10","3,113.24","3,084.86","3,089.31"
11/23/2022,"3,084.74","3,108.24","3,075.32","3,096.91"
11/22/2022,"3,084.23","3,118.12","3,076.32","3,088.94"
11/21/2022,"3,078.06","3,085.24","3,056.17","3,085.04"
11/18/2022,"3,116.73","3,126.71","3,096.89","3,097.24"
11/17/2022,"3,110.96","3,115.44","3,087.17","3,115.43"
11/16/2022,"3,133.65","3,145.75","3,115.35","3,119.98"
11/15/2022,"3,081.14","3,135.59","3,074.50","3,134.08"
11/14/2022,"3,100.87","3,121.41","3,075.22","3,083.40"
11/11/2022,"3,099.65","3,117.74","3,070.30","3,087.29"
11/10/2022,"3,031.69","3,047.98","3,022.85","3,036.13"
11/09/2022,"3,064.46","3,073.92","3,046.19","3,048.17"
11/08/2022,"3,077.31","3,078.28","3,047.46","3,064.49"
11/07/2022,"3,062.86","3,088.19","3,054.46","3,077.82"
11/04/2022,"2,997.00","3,081.59","2,997.00","3,070.80"
11/03/2022,"2,981.20","3,003.72","2,977.72","2,997.81"
11/02/2022,"2,960.65","3,019.05","2,954.95","3,003.37"
11/01/2022,"2,899.50","2,969.20","2,896.76","2,969.20"
10/31/2022,"2,893.20","2,926.02","2,885.09","2,893.48"
10/28/2022,"2,967.02","2,974.24","2,908.98","2,915.93"
10/27/2022,"3,005.04","3,017.26","2,981.69","2,982.90"
10/26/2022,"2,977.56","3,028.35","2,977.56","2,999.50"
10/25/2022,"2,969.16","3,001.72","2,944.26","2,976.28"
10/24/2022,"3,034.75","3,064.42","2,965.17","2,977.56"
10/21/2022,"3,038.04","3,055.42","3,026.96","3,038.93"
10/20/2022,"3,029.30","3,070.27","3,013.69","3,035.05"
10/19/2022,"3,073.26","3,081.39","3,044.38","3,044.38"
10/18/2022,"3,094.93","3,099.92","3,074.22","3,080.96"
10/17/2022,"3,060.52","3,087.19","3,052.71","3,084.94"
10/14/2022,"3,035.03","3,084.27","3,035.03","3,071.99"
10/13/2022,"3,008.30","3,036.25","3,004.50","3,016.36"
10/12/2022,"2,976.72","3,025.51","2,934.09","3,025.51"
10/11/2022,"2,978.06","2,986.91","2,953.50","2,979.79"
10/10/2022,"3,026.94","3,029.45","2,968.28","2,974.15"
09/30/2022,"3,042.17","3,054.61","3,021.93","3,024.39"
09/29/2022,"3,067.47","3,076.76","3,026.08","3,041.20"
09/28/2022,"3,089.10","3,089.10","3,044.86","3,045.07"
09/27/2022,"3,056.39","3,094.04","3,048.37","3,093.86"
09/26/2022,"3,067.57","3,102.65","3,048.51","3,051.23"
09/23/2022,"3,106.81","3,124.66","3,072.24","3,088.37"
09/22/2022,"3,098.77","3,125.68","3,092.82","3,108.91"
09/21/2022,"3,116.01","3,129.82","3,091.30","3,117.18"
09/20/2022,"3,127.84","3,140.03","3,114.04","3,122.41"
09/19/2022,"3,122.76","3,135.56","3,101.22","3,115.60"
09/16/2022,"3,189.83","3,191.83","3,126.40","3,126.40"
09/15/2022,"3,248.97","3,254.18","3,174.39","3,199.92"
09/14/2022,"3,224.68","3,250.80","3,221.96","3,237.54"
09/13/2022,"3,272.05","3,278.17","3,259.66","3,263.80"
09/09/2022,"3,241.18","3,266.20","3,236.51","3,262.05"
09/08/2022,"3,245.56","3,253.70","3,233.80","3,235.59"
09/07/2022,"3,232.14","3,253.77","3,227.82","3,246.29"
