OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,TakerBuyBaseAssetVolume,TakerBuyQuoteAssetVolume,Ignore,Change,HighChange,LowChange,VolumeChange,VolChange
1640000000000.0,3761.57,3763.66,3742.34,3747.0,4118.8931,1640000000000.0,15451051.6,11654,2016.1149,7562926.659,0,-0.38733826567098745,0.4446223645583094,-0.12436615959433826,-2171.768,-34.52368464103081
1640000000000.0,3747.0,3753.36,3741.8,3746.5,3989.1066,1640000000000.0,14951633.58,11677,1781.4042,6677020.309,0,-0.013344008540165465,0.1831042306152443,-0.12545042039236134,-129.78650000000016,-3.151004331722038
1640000000000.0,3746.5,3760.87,3743.0,3758.55,3984.8703,1640000000000.0,14950465.83,11970,1928.6802,7235864.901,0,0.32163352462298633,0.061725931542741454,-0.4137233773662764,-4.236300000000028,-0.10619671081239163
1640000000000.0,3758.13,3761.92,3717.3,3724.34,7402.0298,1640000000000.0,27673042.18,21164,3657.7561,13671006.29,0,-0.8991173801864215,1.0090378429466678,-0.1890267805839414,3417.1595,85.75334308873241
1640000000000.0,3724.34,3745.74,3720.17,3744.69,4625.3465,1640000000000.0,17268066.37,14872,2382.1433,8893721.924,0,0.5464055376254561,0.028039704221169904,-0.6547938547650134,-2776.6833000000006,-37.51245773152657
1640000000000.0,3744.69,3749.98,3737.55,3738.52,3775.6677,1640000000000.0,14133582.27,12364,1729.774,6475266.572,0,-0.1647666428996812,0.30653841627168066,-0.025946096316183945,-849.6787999999997,-18.370057248683956
1640000000000.0,3738.52,3751.93,3734.2,3747.22,3462.824,1640000000000.0,12961569.63,12030,1623.5954,6077257.261,0,0.23271241025860015,0.1256931805445113,-0.347457581887372,-312.8436999999999,-8.285784789800223
1640000000000.0,3747.22,3748.64,3732.39,3744.0,4211.9792,1640000000000.0,15755082.76,13919,2342.2886,8761249.624,0,-0.08593036971407603,0.12393162393162054,-0.31009615384615724,749.1551999999997,21.634226862237284
1640000000000.0,3744.0,3770.0,3738.17,3753.48,5684.8528,1640000000000.0,21353763.17,17094,3159.417,11866344.1,0,0.2532051282051287,0.4401248974285192,-0.40788814646674404,1472.8736,34.96868170669029
1640000000000.0,3753.49,3758.8,3740.0,3743.16,3436.4218,1640000000000.0,12885525.55,12638,1803.7866,6763963.055,0,-0.27521053739319745,0.4178287863730198,-0.08442064993213902,-2248.4309999999996,-39.55126155597203
