OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,TakerBuyBaseAssetVolume,TakerBuyQuoteAssetVolume,Ignore,Change,HighChange,LowChange,VolumeChange,VolChange,cluster
1510000000000.0,13434.98,13818.55,13322.15,13570.35,1302.214836,1510000000000.0,17702535.72,18061,588.516222,7998795.562,0,1.0075936101133074,1.828987461635101,-1.828987461635114,,0.0,0
1510000000000.0,13569.98,13735.24,13001.13,13220.56,1319.755931,1510000000000.0,17651208.2,17200,582.668293,7792108.899,0,-2.574948526084785,3.8930272242628168,-1.6597632778036655,17.541094999999814,1.3470200549918947,3
1510000000000.0,13220.56,13330.0,12750.0,13247.0,1831.933153,1510000000000.0,23912591.04,21357,830.314747,10833038.11,0,0.1999915283467607,0.6265569562919906,-3.7517928587604734,512.177222,38.80848041439869,0
1510000000000.0,13247.0,13290.65,12940.0,13240.37,1092.337234,1510000000000.0,14348870.61,13178,557.453779,7324319.567,0,-0.0500490677134385,0.3797476958725386,-2.268592191910051,-739.5959189999999,-40.37242940818157,0
1510000000000.0,13222.03,13599.7,13222.03,13380.0,1387.469883,1510000000000.0,18668470.0,16361,663.467239,8923948.785,0,1.1947484614692248,1.6420029895366273,-1.1806427503736872,295.1326489999999,27.01845545622039,0
1510000000000.0,13382.16,13850.0,13231.96,13353.78,2365.532926,1510000000000.0,32053629.31,28312,1101.550968,14922285.0,0,-0.212073387255863,3.71595158823943,-0.9122510629949088,978.063043,70.49256023382814,1
1510000000000.0,13353.78,13480.84,12890.02,13343.0,2980.316053,1510000000000.0,39346268.57,22814,1662.863627,21968936.13,0,-0.0807262063625479,1.033051037997453,-3.3948887056883725,614.7831270000001,25.98920185142247,0
1510000000000.0,13343.01,13617.28,13302.59,13490.0,2596.182674,1510000000000.0,34930623.29,18513,1578.448489,21238250.09,0,1.1016254952967868,0.943513713862125,-1.3892512972572264,-384.1333789999999,-12.889014861807338,0
1510000000000.0,13490.0,13894.86,13450.46,13690.03,3365.879508,1510000000000.0,45967260.37,29401,2040.992086,27868676.95,0,1.482802075611569,1.4961983282724722,-1.7499596421629575,769.6968339999999,29.647252549224884,0
1510000000000.0,13690.02,15473.49,13503.0,14732.75,5090.273483,1510000000000.0,72855897.72,49057,2865.715043,40982962.1,0,7.616716410932925,5.027846125129387,-8.347049939760058,1724.393975,51.23160145517603,2
1510000000000.0,14710.02,15160.31,14544.0,14675.11,3679.907467,1510000000000.0,54563428.18,29631,2096.756526,31098978.41,0,-0.237321227299486,3.3062784537901173,-0.8934174939744955,-1410.366016,-27.707077443092267,1
1510000000000.0,14690.0,15299.99,14660.0,14818.49,3303.83359,1510000000000.0,49173973.83,27105,1891.844772,28156547.96,0,0.8746766507828441,3.249318925207629,-1.0695421733253507,-376.0738769999998,-10.219655803100656,1
1510000000000.0,14805.81,15307.56,14795.05,15170.0,3211.702067,1510000000000.0,48360266.66,27848,1929.483604,29055915.17,0,2.459777614328433,0.9067897165458108,-2.471654581410684,-92.13152300000002,-2.7886248047983555,5
1510000000000.0,15170.0,15172.99,14150.0,14730.05,4202.802942,1510000000000.0,61658918.83,37851,2336.728813,34321725.58,0,-2.9001318391562343,3.0070502136788435,-3.9378685068957626,991.100875,30.859053994562192,3
1510000000000.0,14764.73,15045.51,14400.04,15033.77,2082.734125,1520000000000.0,30797789.49,26696,1102.909141,16304128.12,0,1.82218029046248,0.0780908581147628,-4.215376449154134,-2120.0688170000003,-50.444164198455546,5
1520000000000.0,15045.0,15130.0,14671.0,14700.01,1659.697353,1520000000000.0,24715811.05,24082,803.406179,11964263.86,0,-2.293054170820869,2.9251000509523446,-0.1973468045259848,-423.0367719999999,-20.31160708042847,3
1520000000000.0,14700.01,14990.0,14683.0,14919.51,1444.897562,1520000000000.0,21410108.47,19205,930.581057,13784752.55,0,1.4931962631317937,0.4724685998400737,-1.5852397297230287,-214.7997909999999,-12.942106017807204,0
1520000000000.0,14919.51,15280.0,14649.99,15119.97,3062.535646,1520000000000.0,45796189.92,25901,2038.428731,30438934.4,0,1.3436098102417515,1.0584015709025922,-3.1083395006736096,1617.6380839999997,111.9552089049756,5
1520000000000.0,15119.97,15119.97,14685.0,14748.0,2839.900442,1520000000000.0,42215770.42,22843,1641.084222,24391348.73,0,-2.460123928817315,2.5221724979658213,-0.4271765663140764,-222.6352039999997,-7.269636331932501,1
1520000000000.0,14734.07,14800.0,13918.04,14539.97,4339.552051,1520000000000.0,62412829.49,33344,2486.380914,35801090.96,0,-1.317354946732304,1.7883805812529234,-4.277381590195843,1499.6516089999996,52.80648528452884,1
1520000000000.0,14539.99,14653.4,14181.88,14353.01,3960.831185,1520000000000.0,57268257.27,32978,2253.525956,32591913.17,0,-1.2859706230884589,2.09287111205245,-1.192293463182991,-378.72086599999966,-8.727188003488235,1
1520000000000.0,14367.99,14988.0,14238.01,14895.19,3636.616126,1520000000000.0,53122080.0,28670,2017.323962,29466851.33,0,3.66926758718513,0.6230870502491038,-4.412028312495512,-324.2150590000001,-8.185530860992756,5
1520000000000.0,14905.0,15100.08,14601.0,15059.54,3490.214124,1520000000000.0,51966456.7,26574,2244.069166,33426654.41,0,1.0368332774236892,0.2691981295577358,-3.0448473193736385,-146.4020019999998,-4.0257755266853215,0
1520000000000.0,15059.56,15200.0,14642.0,14965.37,3624.97469,1520000000000.0,54425916.13,28051,2174.337796,32654292.69,0,-0.6254498803417808,1.5678195727870357,-2.16078854047712,134.76056599999993,3.861097377187736,1
