OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,TakerBuyBaseAssetVolume,TakerBuyQuoteAssetVolume,Ignore,Change
1520000000000.0,7655.02,8476.0,7150.01,7599.0,60778.4605,1520000000000.0,477935038.8,514893,30084.83627,237137973.5,0,-0.7318073630114674
1520000000000.0,7599.0,7844.0,7572.09,7784.02,1521.537318,1520000000000.0,11770168.04,12417,844.258813,6532638.638,0,2.4347940518489333
1520000000000.0,7789.9,8738.0,7789.9,8683.92,20482.91083,1520000000000.0,173348469.8,273091,10404.04079,88117562.12,0,11.476655669520795
1520000000000.0,8683.93,9065.78,8120.0,8533.98,49381.51265,1520000000000.0,423411421.9,537578,24506.72329,210253734.4,0,-1.7267527490433563
1520000000000.0,8533.99,8549.0,7726.53,8063.88,45025.18795,1520000000000.0,366966437.2,524626,23180.34192,188849914.3,0,-5.508677652540015
1520000000000.0,8063.82,8989.0,8053.0,8903.0,41987.85049,1520000000000.0,362440827.0,477660,20916.94974,180528457.6,0,10.406730308960272
1520000000000.0,8903.0,8950.0,8351.0,8539.9,35454.97296,1520000000000.0,305165143.7,401893,16558.45568,142530987.4,0,-4.078400539144113
1520000000000.0,8535.17,9489.6,8533.0,9449.99,40811.95287,1520000000000.0,370126692.7,514897,20508.46344,185896385.0,0,10.718239941325125
1520000000000.0,9449.98,10219.5,9301.5,10000.09,52427.59672,1520000000000.0,512388484.7,608349,25805.09889,252255267.9,0,5.821282161443735
1520000000000.0,10000.89,10323.37,9666.0,10159.98,38161.20597,1520000000000.0,381103299.2,405310,18313.00447,182947133.9,0,1.590758422500399
1520000000000.0,10156.07,11075.07,10050.0,11039.55,41882.10841,1520000000000.0,446012696.2,413585,21147.62479,225229265.7,0,8.699034173651812
1520000000000.0,11039.55,11274.0,10080.0,10383.43,61137.38073,1520000000000.0,649423311.3,537534,29593.86377,314511909.5,0,-5.943358198477284
1520000000000.0,10375.01,11250.0,10270.33,11153.0,40831.41713,1520000000000.0,443766562.7,366882,20619.87713,224193685.4,0,7.498691567526198
1520000000000.0,11147.11,11786.01,11100.59,11200.99,48153.35429,1520000000000.0,551573232.2,432197,24211.49181,277480902.0,0,0.48335398143553976
1520000000000.0,11195.07,11304.03,10200.0,10437.6,68113.81875,1520000000000.0,731537130.5,542340,32338.074,347436564.7,0,-6.766103293681945
1520000000000.0,10439.02,10933.44,9679.0,9811.04,67060.16648,1520000000000.0,682006373.9,506273,33029.29762,336067441.6,0,-6.01569879164902
1520000000000.0,9815.55,10435.0,9570.19,10131.04,57202.70237,1520000000000.0,571800753.5,467480,28031.01137,280171693.1,0,3.2141856543953384
1520000000000.0,10131.04,10496.97,9352.0,9694.51,40888.1563,1520000000000.0,405618586.6,337918,18646.87096,185164883.5,0,-4.308836999952627
1520000000000.0,9694.51,9847.0,9274.8,9590.0,28373.51759,1520000000000.0,271286599.1,233567,13956.66153,133525539.4,0,-1.0780328247637088
1520000000000.0,9590.0,10444.32,9350.0,10324.0,34878.29276,1520000000000.0,347559259.7,285276,17045.76871,169936003.4,0,7.653806047966633
1520000000000.0,10321.0,10870.0,10121.0,10569.04,30705.38512,1520000000000.0,324295371.1,240542,15187.08374,160450471.5,0,2.4032554984982157
1520000000000.0,10584.33,11098.0,10300.0,10326.76,30800.98378,1520000000000.0,327914696.1,277886,14412.84633,153537202.1,0,-2.4335031126202575
1520000000000.0,10325.64,11060.41,10240.0,10920.0,25092.55393,1520000000000.0,268172535.4,230428,12785.4045,136788817.2,0,5.756156519111654
1520000000000.0,10923.36,11200.0,10770.0,11039.0,23910.71009,1520000000000.0,262936307.0,211691,11893.33363,130864918.8,0,1.0586486209371422
1520000000000.0,11038.99,11544.0,11015.01,11464.48,21287.15328,1520000000000.0,241749497.9,190444,10842.68278,123142920.2,0,3.8544287113223197
1520000000000.0,11464.47,11565.0,11050.02,11515.0,17295.91865,1520000000000.0,194849579.1,168359,8197.401595,92437014.46,0,0.4407530396084656
1520000000000.0,11515.0,11710.0,11415.01,11454.0,15144.23106,1520000000000.0,174866951.4,164318,7668.823714,88588986.34,0,-0.5297438124185845
1520000000000.0,11455.0,11455.0,10555.48,10716.48,29515.57236,1520000000000.0,323842216.6,250306,13482.2972,147874120.6,0,-6.447140986468796
1520000000000.0,10716.48,10899.0,9389.31,9910.0,50647.67108,1520000000000.0,514808033.5,396721,24022.45123,244164771.4,0,-7.525605422676099
1520000000000.0,9910.0,10099.0,9060.0,9271.64,41109.47323,1520000000000.0,394641280.6,336514,20257.45584,194608716.9,0,-6.441574167507574
1520000000000.0,9267.07,9410.0,8329.0,9227.0,64112.29141,1520000000000.0,567082901.1,462712,31166.41485,275735446.0,0,-0.4323912520354299
1520000000000.0,9230.0,9490.0,8667.07,8770.22,37180.01286,1520000000000.0,341210248.4,288066,17639.82728,161991786.1,0,-4.981365113759487
1520000000000.0,8770.22,9740.0,8450.0,9533.57,44325.97339,1520000000000.0,403491260.9,333367,21150.20694,192897625.6,0,8.703886561568586
1520000000000.0,9533.57,9888.88,8780.0,9131.34,42230.77793,1520000000000.0,395562731.9,336642,19369.69776,181454623.9,0,-4.2190910645225195
1520000000000.0,9131.34,9474.0,8823.0,9150.0,40191.40936,1520000000000.0,367353984.7,342734,19856.45705,181534440.8,0,0.20435116861271022
1520000000000.0,9151.92,9333.78,7900.28,8170.0,49708.09411,1520000000000.0,426058009.8,399127,22883.32973,196344166.2,0,-10.729114764989205
1520000000000.0,8184.01,8430.0,7650.0,8240.98,52291.02228,1520000000000.0,422130717.5,400529,26414.16025,213358245.7,0,0.6961135189228672
1520000000000.0,8240.98,8611.64,7900.0,8260.0,38815.40989,1520000000000.0,322355002.2,255807,20049.43399,166563494.4,0,0.23079779346631635
